WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Kenny Florian,38,1,1,6,Lightweight,SUB  Rear Naked Choke,3,3:57,Kenny Florian vs. Dokonjonosuke Mishima,2,Dokonjonosuke Mishima,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Dokonjonosuke Mishima,6,1,2,0,Lightweight,SUB  Rear Naked Choke,3,3:57,Kenny Florian vs. Dokonjonosuke Mishima,2,Kenny Florian,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Wilson Gouveia,17,1,1,1,Light Heavyweight,SUB  Guillotine Choke,2,0:39,Wilson Gouveia vs. Seth Petruzelli,3,Seth Petruzelli,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Seth Petruzelli,8,1,0,0,Light Heavyweight,SUB  Guillotine Choke,2,0:39,Wilson Gouveia vs. Seth Petruzelli,3,Wilson Gouveia,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Drew Fickett,79,2,0,1,Welterweight,U-DEC,3,5:00,Drew Fickett vs. Keita Nakamura,4,Keita Nakamura,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Keita Nakamura,32,2,0,0,Welterweight,U-DEC,3,5:00,Drew Fickett vs. Keita Nakamura,4,Drew Fickett,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Kurt Pellegrino,4,1,1,4,Lightweight,SUB  Ankle Lock,1,2:58,Kurt Pellegrino vs. Nate Mohr,5,Nate Mohr,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Nate Mohr,6,0,0,0,Lightweight,SUB  Ankle Lock,1,2:58,Kurt Pellegrino vs. Nate Mohr,5,Kurt Pellegrino,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Kuniyoshi Hironaka,26,5,1,10,Welterweight,U-DEC,3,5:00,Kuniyoshi Hironaka vs. Forrest Petz,6,Forrest Petz,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Forrest Petz,7,0,0,0,Welterweight,U-DEC,3,5:00,Kuniyoshi Hironaka vs. Forrest Petz,6,Kuniyoshi Hironaka,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Roan Carneiro,22,7,4,8,Welterweight,U-DEC,3,5:00,Roan Carneiro vs. Rich Clementi,7,Rich Clementi,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Rich Clementi,9,0,0,0,Welterweight,U-DEC,3,5:00,Roan Carneiro vs. Rich Clementi,7,Roan Carneiro,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Thiago Tavares,21,4,2,7,Lightweight,U-DEC,3,5:00,Thiago Tavares vs. Naoyuki Kotani,8,Naoyuki Kotani,2007-04-05,UFC Fight Night: Stevenson vs Guillard
loss,Naoyuki Kotani,12,1,1,2,Lightweight,U-DEC,3,5:00,Thiago Tavares vs. Naoyuki Kotani,8,Thiago Tavares,2007-04-05,UFC Fight Night: Stevenson vs Guillard
win,Randy Couture,73,7,0,7,Heavyweight,U-DEC,5,5:00,Randy Couture vs. Tim Sylvia,0,Tim Sylvia,2007-03-03,UFC 68: The Uprising
loss,Tim Sylvia,25,0,0,0,Heavyweight,U-DEC,5,5:00,Randy Couture vs. Tim Sylvia,0,Randy Couture,2007-03-03,UFC 68: The Uprising
win,Martin Kampmann,15,1,1,1,Middleweight,SUB  Arm Triangle,1,4:06,Martin Kampmann vs. Drew McFedries,1,Drew McFedries,2007-03-03,UFC 68: The Uprising
loss,Drew McFedries,16,0,0,0,Middleweight,SUB  Arm Triangle,1,4:06,Martin Kampmann vs. Drew McFedries,1,Martin Kampmann,2007-03-03,UFC 68: The Uprising
win,Rich Franklin,49,1,0,4,Middleweight,KO/TKO,2,5:00,Rich Franklin vs. Jason MacDonald,2,Jason MacDonald,2007-03-03,UFC 68: The Uprising
loss,Jason MacDonald,16,1,0,0,Middleweight,KO/TKO,2,5:00,Rich Franklin vs. Jason MacDonald,2,Rich Franklin,2007-03-03,UFC 68: The Uprising
win,Matt Hughes,13,2,3,8,Welterweight,U-DEC,3,5:00,Matt Hughes vs. Chris Lytle,3,Chris Lytle,2007-03-03,UFC 68: The Uprising
loss,Chris Lytle,5,0,3,1,Welterweight,U-DEC,3,5:00,Matt Hughes vs. Chris Lytle,3,Matt Hughes,2007-03-03,UFC 68: The Uprising
win,Jason Lambert,19,2,0,2,Light Heavyweight,KO/TKO  Punch,2,3:36,Jason Lambert vs. Renato Sobral,4,Renato Sobral,2007-03-03,UFC 68: The Uprising
loss,Renato Sobral,5,1,1,2,Light Heavyweight,KO/TKO  Punch,2,3:36,Jason Lambert vs. Renato Sobral,4,Jason Lambert,2007-03-03,UFC 68: The Uprising
win,Matt Hamill,29,0,0,2,Light Heavyweight,KO/TKO  Punches,1,4:00,Matt Hamill vs. Rex Holman,5,Rex Holman,2007-03-03,UFC 68: The Uprising
loss,Rex Holman,11,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:00,Matt Hamill vs. Rex Holman,5,Matt Hamill,2007-03-03,UFC 68: The Uprising
win,Jon Fitch,19,2,2,4,Welterweight,SUB  Rear Naked Choke,2,3:05,Jon Fitch vs. Luigi Fioravanti,6,Luigi Fioravanti,2007-03-03,UFC 68: The Uprising
loss,Luigi Fioravanti,14,0,0,0,Welterweight,SUB  Rear Naked Choke,2,3:05,Jon Fitch vs. Luigi Fioravanti,6,Jon Fitch,2007-03-03,UFC 68: The Uprising
win,Gleison Tibau,36,5,1,8,Lightweight,U-DEC,3,5:00,Gleison Tibau vs. Jason Dent,7,Jason Dent,2007-03-03,UFC 68: The Uprising
loss,Jason Dent,12,0,0,0,Lightweight,U-DEC,3,5:00,Gleison Tibau vs. Jason Dent,7,Gleison Tibau,2007-03-03,UFC 68: The Uprising
win,Jamie Varner,7,1,2,1,Lightweight,SUB  Rear Naked Choke,1,1:34,Jamie Varner vs. Jason Gilliam,8,Jason Gilliam,2007-03-03,UFC 68: The Uprising
loss,Jason Gilliam,0,0,0,0,Lightweight,SUB  Rear Naked Choke,1,1:34,Jamie Varner vs. Jason Gilliam,8,Jamie Varner,2007-03-03,UFC 68: The Uprising
win,Anderson Silva,9,0,2,0,Middleweight,SUB  Triangle Choke,2,2:11,Anderson Silva vs. Travis Lutter,0,Travis Lutter,2007-02-03,UFC 67: All or Nothing
loss,Travis Lutter,8,3,0,2,Middleweight,SUB  Triangle Choke,2,2:11,Anderson Silva vs. Travis Lutter,0,Anderson Silva,2007-02-03,UFC 67: All or Nothing
win,Mirko Cro Cop,20,0,0,2,Heavyweight,KO/TKO  Punches,1,4:33,Mirko Cro Cop vs. Eddie Sanchez,1,Eddie Sanchez,2007-02-03,UFC 67: All or Nothing
loss,Eddie Sanchez,5,0,0,0,Heavyweight,KO/TKO  Punches,1,4:33,Mirko Cro Cop vs. Eddie Sanchez,1,Mirko Cro Cop,2007-02-03,UFC 67: All or Nothing
win,Roger Huerta,13,1,0,1,Lightweight,KO/TKO  Punches,1,0:19,Roger Huerta vs. John Halverson,2,John Halverson,2007-02-03,UFC 67: All or Nothing
loss,John Halverson,1,0,0,0,Lightweight,KO/TKO  Punches,1,0:19,Roger Huerta vs. John Halverson,2,Roger Huerta,2007-02-03,UFC 67: All or Nothing
win,Rampage Jackson,45,0,0,0,Light Heavyweight,KO/TKO  Punches,2,3:49,Rampage Jackson vs. Marvin Eastman,3,Marvin Eastman,2007-02-03,UFC 67: All or Nothing
loss,Marvin Eastman,15,0,0,0,Light Heavyweight,KO/TKO  Punches,2,3:49,Rampage Jackson vs. Marvin Eastman,3,Rampage Jackson,2007-02-03,UFC 67: All or Nothing
win,Patrick Cote,50,1,0,0,Middleweight,U-DEC,3,5:00,Patrick Cote vs. Scott Smith,4,Scott Smith,2007-02-03,UFC 67: All or Nothing
loss,Scott Smith,34,0,0,0,Middleweight,U-DEC,3,5:00,Patrick Cote vs. Scott Smith,4,Patrick Cote,2007-02-03,UFC 67: All or Nothing
win,Terry Martin,4,0,0,0,Middleweight,KO/TKO  Punch,1,0:14,Terry Martin vs. Jorge Rivera,5,Jorge Rivera,2007-02-03,UFC 67: All or Nothing
loss,Jorge Rivera,1,0,0,0,Middleweight,KO/TKO  Punch,1,0:14,Terry Martin vs. Jorge Rivera,5,Terry Martin,2007-02-03,UFC 67: All or Nothing
win,Frankie Edgar,55,8,0,6,Lightweight,U-DEC,3,5:00,Frankie Edgar vs. Tyson Griffin,6,Tyson Griffin,2007-02-03,UFC 67: All or Nothing
loss,Tyson Griffin,38,3,4,0,Lightweight,U-DEC,3,5:00,Frankie Edgar vs. Tyson Griffin,6,Frankie Edgar,2007-02-03,UFC 67: All or Nothing
win,Lyoto Machida,62,4,0,13,Light Heavyweight,U-DEC,3,5:00,Lyoto Machida vs. Sam Hoger,7,Sam Hoger,2007-02-03,UFC 67: All or Nothing
loss,Sam Hoger,11,1,0,1,Light Heavyweight,U-DEC,3,5:00,Lyoto Machida vs. Sam Hoger,7,Lyoto Machida,2007-02-03,UFC 67: All or Nothing
win,Dustin Hazelett,44,1,1,0,Lightweight,U-DEC,3,5:00,Dustin Hazelett vs. Diego Saraiva,8,Diego Saraiva,2007-02-03,UFC 67: All or Nothing
loss,Diego Saraiva,14,4,0,5,Lightweight,U-DEC,3,5:00,Dustin Hazelett vs. Diego Saraiva,8,Dustin Hazelett,2007-02-03,UFC 67: All or Nothing
win,Rashad Evans,13,0,0,0,Light Heavyweight,KO/TKO  Kick,2,1:06,Rashad Evans vs. Sean Salmon,0,Sean Salmon,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Sean Salmon,10,2,0,2,Light Heavyweight,KO/TKO  Kick,2,1:06,Rashad Evans vs. Sean Salmon,0,Rashad Evans,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Jake O'Brien,13,6,1,17,Heavyweight,U-DEC,3,5:00,Jake O'Brien vs. Heath Herring,1,Heath Herring,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Heath Herring,11,1,1,0,Heavyweight,U-DEC,3,5:00,Jake O'Brien vs. Heath Herring,1,Jake O'Brien,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Hermes Franca,25,2,2,3,Lightweight,KO/TKO  Punch,2,4:03,Hermes Franca vs. Spencer Fisher,2,Spencer Fisher,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Spencer Fisher,24,0,0,0,Lightweight,KO/TKO  Punch,2,4:03,Hermes Franca vs. Spencer Fisher,2,Hermes Franca,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Nate Marquardt,53,2,0,4,Middleweight,U-DEC,3,5:00,Nate Marquardt vs. Dean Lister,3,Dean Lister,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Dean Lister,18,0,0,0,Middleweight,U-DEC,3,5:00,Nate Marquardt vs. Dean Lister,3,Nate Marquardt,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Joshua Burkman,27,9,0,4,Welterweight,U-DEC,3,5:00,Joshua Burkman vs. Chad Reiner,4,Chad Reiner,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Chad Reiner,6,1,2,1,Welterweight,U-DEC,3,5:00,Joshua Burkman vs. Chad Reiner,4,Joshua Burkman,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Ed Herman,5,1,1,1,Middleweight,SUB  Armbar,1,2:58,Ed Herman vs. Chris Price,5,Chris Price,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Chris Price,5,0,1,0,Middleweight,SUB  Armbar,1,2:58,Ed Herman vs. Chris Price,5,Ed Herman,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Din Thomas,33,0,1,0,Lightweight,U-DEC,3,5:00,Din Thomas vs. Clay Guida,6,Clay Guida,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Clay Guida,33,5,0,2,Lightweight,U-DEC,3,5:00,Din Thomas vs. Clay Guida,6,Din Thomas,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Rich Clementi,23,1,1,4,Welterweight,SUB  Rear Naked Choke,2,4:53,Rich Clementi vs. Ross Pointon,7,Ross Pointon,2007-01-25,UFC Fight Night: Evans vs Salmon
loss,Ross Pointon,23,0,0,0,Welterweight,SUB  Rear Naked Choke,2,4:53,Rich Clementi vs. Ross Pointon,7,Rich Clementi,2007-01-25,UFC Fight Night: Evans vs Salmon
win,Chuck Liddell,49,0,0,0,Light Heavyweight,KO/TKO  Punches,3,3:59,Chuck Liddell vs. Tito Ortiz,0,Tito Ortiz,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Tito Ortiz,21,1,0,0,Light Heavyweight,KO/TKO  Punches,3,3:59,Chuck Liddell vs. Tito Ortiz,0,Chuck Liddell,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Keith Jardine,36,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:41,Keith Jardine vs. Forrest Griffin,1,Forrest Griffin,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Forrest Griffin,17,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:41,Keith Jardine vs. Forrest Griffin,1,Keith Jardine,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Jason MacDonald,9,1,1,1,Middleweight,SUB  Guillotine Choke,2,4:03,Jason MacDonald vs. Chris Leben,2,Chris Leben,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Chris Leben,15,2,0,2,Middleweight,SUB  Guillotine Choke,2,4:03,Jason MacDonald vs. Chris Leben,2,Jason MacDonald,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Andrei Arlovski,7,0,1,1,Heavyweight,KO/TKO  Punches,1,3:15,Andrei Arlovski vs. Marcio Cruz,3,Marcio Cruz,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Marcio Cruz,0,0,2,0,Heavyweight,KO/TKO  Punches,1,3:15,Andrei Arlovski vs. Marcio Cruz,3,Andrei Arlovski,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Michael Bisping,19,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:24,Michael Bisping vs. Eric Schafer,4,Eric Schafer,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Eric Schafer,3,3,2,3,Light Heavyweight,KO/TKO  Punches,1,4:24,Michael Bisping vs. Eric Schafer,4,Michael Bisping,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Thiago Alves,26,0,1,3,Welterweight,KO/TKO  Knee,2,1:10,Thiago Alves vs. Tony DeSouza,5,Tony DeSouza,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Tony DeSouza,1,0,0,0,Welterweight,KO/TKO  Knee,2,1:10,Thiago Alves vs. Tony DeSouza,5,Thiago Alves,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Gabriel Gonzaga,4,1,3,4,Heavyweight,SUB  Armbar,1,3:22,Gabriel Gonzaga vs. Carmelo Marrero,6,Carmelo Marrero,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Carmelo Marrero,1,0,0,0,Heavyweight,SUB  Armbar,1,3:22,Gabriel Gonzaga vs. Carmelo Marrero,6,Gabriel Gonzaga,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Yushin Okami,35,3,0,8,Middleweight,KO/TKO  Punches,3,4:03,Yushin Okami vs. Rory Singer,7,Rory Singer,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Rory Singer,28,0,0,0,Middleweight,KO/TKO  Punches,3,4:03,Yushin Okami vs. Rory Singer,7,Yushin Okami,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Christian Wellisch,61,1,0,1,Heavyweight,U-DEC,3,5:00,Christian Wellisch vs. Anthony Perosh,8,Anthony Perosh,2006-12-30,UFC 66: Liddell vs Ortiz 2
loss,Anthony Perosh,48,3,0,0,Heavyweight,U-DEC,3,5:00,Christian Wellisch vs. Anthony Perosh,8,Christian Wellisch,2006-12-30,UFC 66: Liddell vs Ortiz 2
win,Diego Sanchez,6,0,0,0,Welterweight,KO/TKO  Flying Knee,1,1:45,Diego Sanchez vs. Joe Riggs,0,Joe Riggs,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Joe Riggs,3,0,0,0,Welterweight,KO/TKO  Flying Knee,1,1:45,Diego Sanchez vs. Joe Riggs,0,Diego Sanchez,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Josh Koscheck,14,6,1,2,Welterweight,U-DEC,3,5:00,Josh Koscheck vs. Jeff Joslin,1,Jeff Joslin,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Jeff Joslin,18,0,1,0,Welterweight,U-DEC,3,5:00,Josh Koscheck vs. Jeff Joslin,1,Josh Koscheck,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Karo Parisyan,56,3,0,5,Welterweight,U-DEC,3,5:00,Karo Parisyan vs. Drew Fickett,2,Drew Fickett,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Drew Fickett,47,1,0,0,Welterweight,U-DEC,3,5:00,Karo Parisyan vs. Drew Fickett,2,Karo Parisyan,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Marcus Davis,54,1,2,2,Welterweight,U-DEC,3,5:00,Marcus Davis vs. Shonie Carter,3,Shonie Carter,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Shonie Carter,27,0,0,0,Welterweight,U-DEC,3,5:00,Marcus Davis vs. Shonie Carter,3,Marcus Davis,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,David Heath,44,0,0,0,Light Heavyweight,S-DEC,3,5:00,David Heath vs. Victor Valimaki,4,Victor Valimaki,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Victor Valimaki,66,1,0,1,Light Heavyweight,S-DEC,3,5:00,David Heath vs. Victor Valimaki,4,David Heath,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Alan Belcher,29,1,2,0,Middleweight,KO/TKO  Kick,3,2:45,Alan Belcher vs. Jorge Santiago,5,Jorge Santiago,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Jorge Santiago,14,0,3,2,Middleweight,KO/TKO  Kick,3,2:45,Alan Belcher vs. Jorge Santiago,5,Alan Belcher,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Luigi Fioravanti,23,1,0,0,Welterweight,KO/TKO  Punches,1,4:44,Luigi Fioravanti vs. Dave Menne,6,Dave Menne,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Dave Menne,8,0,2,0,Welterweight,KO/TKO  Punches,1,4:44,Luigi Fioravanti vs. Dave Menne,6,Luigi Fioravanti,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Brock Larson,22,5,0,2,Welterweight,U-DEC,3,5:00,Brock Larson vs. Keita Nakamura,7,Keita Nakamura,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Keita Nakamura,16,0,1,0,Welterweight,U-DEC,3,5:00,Brock Larson vs. Keita Nakamura,7,Brock Larson,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Logan Clark,40,0,2,4,Middleweight,U-DEC,3,5:00,Logan Clark vs. Steve Byrnes,8,Steve Byrnes,2006-12-13,UFC Fight Night: Sanchez vs Riggs
loss,Steve Byrnes,18,3,4,2,Middleweight,U-DEC,3,5:00,Logan Clark vs. Steve Byrnes,8,Logan Clark,2006-12-13,UFC Fight Night: Sanchez vs Riggs
win,Georges St-Pierre,45,1,0,1,Welterweight,KO/TKO  Kick,2,1:25,Georges St-Pierre vs. Matt Hughes,0,Matt Hughes,2006-11-18,UFC 65: Bad Intentions
loss,Matt Hughes,10,0,0,0,Welterweight,KO/TKO  Kick,2,1:25,Georges St-Pierre vs. Matt Hughes,0,Georges St-Pierre,2006-11-18,UFC 65: Bad Intentions
win,Tim Sylvia,49,0,1,1,Heavyweight,U-DEC,5,5:00,Tim Sylvia vs. Jeff Monson,1,Jeff Monson,2006-11-18,UFC 65: Bad Intentions
loss,Jeff Monson,12,1,2,2,Heavyweight,U-DEC,5,5:00,Tim Sylvia vs. Jeff Monson,1,Tim Sylvia,2006-11-18,UFC 65: Bad Intentions
win,Drew McFedries,30,1,0,1,Light Heavyweight,KO/TKO  Punches,1,4:07,Drew McFedries vs. Alessio Sakara,2,Alessio Sakara,2006-11-18,UFC 65: Bad Intentions
loss,Alessio Sakara,32,0,0,0,Light Heavyweight,KO/TKO  Punches,1,4:07,Drew McFedries vs. Alessio Sakara,2,Drew McFedries,2006-11-18,UFC 65: Bad Intentions
win,Brandon Vera,15,0,0,1,Heavyweight,KO/TKO  Punches,1,1:09,Brandon Vera vs. Frank Mir,3,Frank Mir,2006-11-18,UFC 65: Bad Intentions
loss,Frank Mir,2,0,0,0,Heavyweight,KO/TKO  Punches,1,1:09,Brandon Vera vs. Frank Mir,3,Brandon Vera,2006-11-18,UFC 65: Bad Intentions
win,Joe Stevenson,1,0,3,0,Lightweight,SUB  Guillotine Choke,1,2:07,Joe Stevenson vs. Dokonjonosuke Mishima,4,Dokonjonosuke Mishima,2006-11-18,UFC 65: Bad Intentions
loss,Dokonjonosuke Mishima,1,1,0,1,Lightweight,SUB  Guillotine Choke,1,2:07,Joe Stevenson vs. Dokonjonosuke Mishima,4,Joe Stevenson,2006-11-18,UFC 65: Bad Intentions
win,Nick Diaz,24,0,1,1,Welterweight,KO/TKO  Punches,2,2:27,Nick Diaz vs. Gleison Tibau,5,Gleison Tibau,2006-11-18,UFC 65: Bad Intentions
loss,Gleison Tibau,0,0,1,0,Welterweight,KO/TKO  Punches,2,2:27,Nick Diaz vs. Gleison Tibau,5,Nick Diaz,2006-11-18,UFC 65: Bad Intentions
win,Antoni Hardonk,10,0,0,0,Heavyweight,KO/TKO  Punch,1,3:15,Antoni Hardonk vs. Sherman Pendergarst,6,Sherman Pendergarst,2006-11-18,UFC 65: Bad Intentions
loss,Sherman Pendergarst,4,1,0,2,Heavyweight,KO/TKO  Punch,1,3:15,Antoni Hardonk vs. Sherman Pendergarst,6,Antoni Hardonk,2006-11-18,UFC 65: Bad Intentions
win,James Irvin,17,0,0,0,Light Heavyweight,KO/TKO  Punch,2,2:36,James Irvin vs. Hector Ramirez,7,Hector Ramirez,2006-11-18,UFC 65: Bad Intentions
loss,Hector Ramirez,33,3,1,3,Light Heavyweight,KO/TKO  Punch,2,2:36,James Irvin vs. Hector Ramirez,7,James Irvin,2006-11-18,UFC 65: Bad Intentions
win,Jake O'Brien,13,10,0,2,Heavyweight,U-DEC,3,5:00,Jake O'Brien vs. Josh Shockman,8,Josh Shockman,2006-11-18,UFC 65: Bad Intentions
loss,Josh Shockman,13,0,0,0,Heavyweight,U-DEC,3,5:00,Jake O'Brien vs. Josh Shockman,8,Jake O'Brien,2006-11-18,UFC 65: Bad Intentions
win,Matt Serra,20,1,0,1,Welterweight,S-DEC,3,5:00,Matt Serra vs. Chris Lytle,0,Chris Lytle,2006-11-11,The Ultimate Fighter 4 Finale
loss,Chris Lytle,42,1,0,0,Welterweight,S-DEC,3,5:00,Matt Serra vs. Chris Lytle,0,Matt Serra,2006-11-11,The Ultimate Fighter 4 Finale
win,Travis Lutter,0,1,1,3,Middleweight,SUB  Armbar,1,2:18,Travis Lutter vs. Patrick Cote,1,Patrick Cote,2006-11-11,The Ultimate Fighter 4 Finale
loss,Patrick Cote,0,0,0,0,Middleweight,SUB  Armbar,1,2:18,Travis Lutter vs. Patrick Cote,1,Travis Lutter,2006-11-11,The Ultimate Fighter 4 Finale
win,Din Thomas,33,1,1,2,Lightweight,SUB  Rear Naked Choke,2,3:11,Din Thomas vs. Rich Clementi,2,Rich Clementi,2006-11-11,The Ultimate Fighter 4 Finale
loss,Rich Clementi,22,1,0,0,Lightweight,SUB  Rear Naked Choke,2,3:11,Din Thomas vs. Rich Clementi,2,Din Thomas,2006-11-11,The Ultimate Fighter 4 Finale
win,Jorge Rivera,24,0,0,0,Middleweight,KO/TKO  Punches,1,2:37,Jorge Rivera vs. Edwin DeWees,3,Edwin DeWees,2006-11-11,The Ultimate Fighter 4 Finale
loss,Edwin DeWees,6,0,0,0,Middleweight,KO/TKO  Punches,1,2:37,Jorge Rivera vs. Edwin DeWees,3,Jorge Rivera,2006-11-11,The Ultimate Fighter 4 Finale
win,Pete Spratt,12,0,0,0,Welterweight,SUB  Injury,2,1:11,Pete Spratt vs. Jeremy Jackson,4,Jeremy Jackson,2006-11-11,The Ultimate Fighter 4 Finale
loss,Jeremy Jackson,5,2,0,2,Welterweight,SUB  Injury,2,1:11,Pete Spratt vs. Jeremy Jackson,4,Pete Spratt,2006-11-11,The Ultimate Fighter 4 Finale
win,Scott Smith,26,0,0,0,Middleweight,KO/TKO  Punch,2,3:25,Scott Smith vs. Pete Sell,5,Pete Sell,2006-11-11,The Ultimate Fighter 4 Finale
loss,Pete Sell,32,0,0,0,Middleweight,KO/TKO  Punch,2,3:25,Scott Smith vs. Pete Sell,5,Scott Smith,2006-11-11,The Ultimate Fighter 4 Finale
win,Charles McCarthy,2,1,1,1,Middleweight,SUB  Armbar,1,4:43,Charles McCarthy vs. Gideon Ray,6,Gideon Ray,2006-11-11,The Ultimate Fighter 4 Finale
loss,Gideon Ray,9,0,0,0,Middleweight,SUB  Armbar,1,4:43,Charles McCarthy vs. Gideon Ray,6,Charles McCarthy,2006-11-11,The Ultimate Fighter 4 Finale
win,Martin Kampmann,101,0,0,0,Middleweight,U-DEC,3,5:00,Martin Kampmann vs. Thales Leites,7,Thales Leites,2006-11-11,The Ultimate Fighter 4 Finale
loss,Thales Leites,46,1,0,1,Middleweight,U-DEC,3,5:00,Martin Kampmann vs. Thales Leites,7,Martin Kampmann,2006-11-11,The Ultimate Fighter 4 Finale
win,Anderson Silva,31,0,0,0,Middleweight,KO/TKO  Knees,1,2:59,Anderson Silva vs. Rich Franklin,0,Rich Franklin,2006-10-14,UFC 64: Unstoppable
loss,Rich Franklin,10,0,0,0,Middleweight,KO/TKO  Knees,1,2:59,Anderson Silva vs. Rich Franklin,0,Anderson Silva,2006-10-14,UFC 64: Unstoppable
win,Sean Sherk,60,8,1,15,Lightweight,U-DEC,5,5:00,Sean Sherk vs. Kenny Florian,1,Kenny Florian,2006-10-14,UFC 64: Unstoppable
loss,Kenny Florian,23,0,4,0,Lightweight,U-DEC,5,5:00,Sean Sherk vs. Kenny Florian,1,Sean Sherk,2006-10-14,UFC 64: Unstoppable
win,Jon Fitch,44,5,0,1,Welterweight,U-DEC,3,5:00,Jon Fitch vs. Kuniyoshi Hironaka,2,Kuniyoshi Hironaka,2006-10-14,UFC 64: Unstoppable
loss,Kuniyoshi Hironaka,4,0,2,0,Welterweight,U-DEC,3,5:00,Jon Fitch vs. Kuniyoshi Hironaka,2,Jon Fitch,2006-10-14,UFC 64: Unstoppable
win,Carmelo Marrero,16,6,0,5,Heavyweight,S-DEC,3,5:00,Carmelo Marrero vs. Cheick Kongo,3,Cheick Kongo,2006-10-14,UFC 64: Unstoppable
loss,Cheick Kongo,18,0,2,2,Heavyweight,S-DEC,3,5:00,Carmelo Marrero vs. Cheick Kongo,3,Carmelo Marrero,2006-10-14,UFC 64: Unstoppable
win,Spencer Fisher,13,0,0,0,Lightweight,KO/TKO  Punches,1,4:38,Spencer Fisher vs. Dan Lauzon,4,Dan Lauzon,2006-10-14,UFC 64: Unstoppable
loss,Dan Lauzon,8,2,0,1,Lightweight,KO/TKO  Punches,1,4:38,Spencer Fisher vs. Dan Lauzon,4,Spencer Fisher,2006-10-14,UFC 64: Unstoppable
win,Yushin Okami,39,3,1,3,Middleweight,KO/TKO  Punches,3,1:40,Yushin Okami vs. Kalib Starnes,5,Kalib Starnes,2006-10-14,UFC 64: Unstoppable
